Rank,Country,CO2_Emissions,Change,Population,Per_Capita,Share_Of_World,,,,,,,,
1,China,"10,432,751,400",-0.0028,"1,414,049,351",7.38,0.2918,,,,,,,,
2,United States,"5,011,686,600",-0.0201,"323,015,995",15.52,0.1402,,,,,,,,
3,India,"2,533,638,100",0.0471,"1,324,517,249",1.91,0.0709,,,,,,,,
4,Russia,"1,661,899,300",-0.0213,"145,275,383",11.44,0.0465,,,,,,,,
5,Japan,"1,239,592,060",-0.0121,"127,763,265",9.7,0.0347,,,,,,,,
6,Germany,"775,752,190",0.0128,"82,193,768",9.44,0.0217,,,,,,,,
7,Canada,"675,918,610",-0.01,"36,382,944",18.58,0.0189,,,,,,,,
8,Iran,"642,560,030",0.0222,"79,563,989",8.08,0.018,,,,,,,,
9,South Korea,"604,043,830",0.0045,"50,983,457",11.85,0.0169,,,,,,,,
10,Indonesia,"530,035,650",0.0641,"261,556,381",2.03,0.0148,,,,,,,,
11,Saudi Arabia,"517,079,407",0.0092,"32,443,447",15.94,0.0145,,,,,,,,
12,Brazil,"462,994,920",-0.0608,"206,163,053",2.25,0.0129,,,,,,,,
13,Mexico,"441,412,750",-0.0213,"123,333,376",3.58,0.0123,,,,,,,,
14,Australia,"414,988,700",-0.0098,"24,262,712",17.1,0.0116,,,,,,,,
15,South Africa,"390,557,850",-0.0049,"56,207,646",6.95,0.0109,,,,,,,,
16,Turkey,"368,122,740",0.0525,"79,827,871",4.61,0.0103,,,,,,,,
17,United Kingdom,"367,860,350",-0.0638,"66,297,944",5.55,0.0103,,,,,,,,
18,Italy,"358,139,550",0.0084,"60,663,060",5.9,0.01,,,,,,,,
19,France,"331,533,320",0.0211,"64,667,596",5.13,0.0093,,,,,,,,
20,Poland,"296,659,670",0.0267,"37,989,220",7.81,0.0083,,,,,,,,
21,Taiwan,"276,724,868",0.0191,"23,618,200",11.72,0.0077,,,,,,,,
22,Thailand,"271,040,160",0.0155,"68,971,308",3.93,0.0076,,,,,,,,
23,Malaysia,"266,251,542",0.0654,"30,684,654",8.68,0.0074,,,,,,,,
24,Spain,"251,892,320",-0.0312,"46,634,140",5.4,0.007,,,,,,,,
25,Ukraine,"233,220,080",0.0803,"44,713,702",5.22,0.0065,,,,,,,,
26,Kazakhstan,"231,919,540",0.0164,"17,830,901",13.01,0.0065,,,,,,,,
27,Egypt,"219,377,350",0.0472,"94,447,073",2.32,0.0061,,,,,,,,
28,United Arab Emirates,"218,788,684",0.0443,"9,360,980",23.37,0.0061,,,,,,,,
29,Vietnam,"206,042,140",0.0009,"93,640,422",2.2,0.0058,,,,,,,,
30,Argentina,"200,708,270",0.0016,"43,508,460",4.61,0.0056,,,,,,,,
31,Pakistan,"178,013,820",0.0913,"203,631,353",0.87,0.005,,,,,,,,
32,Venezuela,"175,884,256",-0.019,"29,851,255",5.89,0.0049,,,,,,,,
33,Netherlands,"163,419,285",0.0163,"16,981,295",9.62,0.0046,,,,,,,,
34,Iraq,"162,646,160",0.0122,"36,610,632",4.44,0.0045,,,,,,,,
35,Algeria,"156,220,560",0.0017,"40,551,392",3.85,0.0044,,,,,,,,
36,Philippines,"126,922,662",0.1237,"103,663,816",1.22,0.0035,,,,,,,,
37,Czech Republic (Czechia),"111,825,428",0.0139,"10,618,857",10.53,0.0031,,,,,,,,
38,Uzbekistan,"109,347,340",0.016,"31,441,751",3.48,0.0031,,,,,,,,
39,Kuwait,"101,492,225",0.0136,"3,956,875",25.65,0.0028,,,,,,,,
40,Qatar,"98,990,085",0.0179,"2,654,374",37.29,0.0028,,,,,,,,
41,Belgium,"94,722,813",0.0153,"11,354,420",8.34,0.0026,,,,,,,,
42,Oman,"87,835,773",0.0209,"4,479,219",19.61,0.0025,,,,,,,,
43,Nigeria,"82,634,214",0.007,"185,960,241",0.44,0.0023,,,,,,,,
44,Chile,"81,258,525",0.0533,"18,209,068",4.46,0.0023,,,,,,,,
45,Turkmenistan,"79,279,216",0.0063,"5,662,368",14,0.0022,,,,,,,,
46,Romania,"78,770,824",0.0169,"19,796,285",3.98,0.0022,,,,,,,,
47,Colombia,"77,667,594",-0.0084,"48,175,052",1.61,0.0022,,,,,,,,
48,Bangladesh,"74,476,230",0.045,"157,977,153",0.47,0.0021,,,,,,,,
49,Austria,"73,764,112",0.0154,"8,747,301",8.43,0.0021,,,,,,,,
50,Greece,"67,840,662",-0.0347,"10,615,185",6.39,0.0019,,,,,,,,
51,Israel,"65,201,588",-0.0038,"8,108,985",8.04,0.0018,,,,,,,,
52,Belarus,"62,655,669",0.049,"9,445,643",6.63,0.0018,,,,,,,,
53,North Korea,"58,708,734",0.1949,"25,307,665",2.32,0.0016,,,,,,,,
54,Morocco,"57,694,464",0.0054,"35,126,283",1.64,0.0016,,,,,,,,
55,Peru,"57,692,879",0.0816,"30,926,032",1.87,0.0016,,,,,,,,
56,Libya,"52,696,075",0.0152,"6,492,162",8.12,0.0015,,,,,,,,
