Country,Country_,Year,Total,Total_RE,Percentage,Hydropower_Gwh,Hydropower_Percentage_Of_Total,Hydropower_Percentage_Of_RE,Windpower_Gwh,Windpower_Percentage_Of_Total,Windpower_Percentage_Of_RE,Biomass_Gwh,Biomass_Percentage_Of_Total,Biomass_Percentage_Of_RE,Solar_Power_Gwh,Solar_Power_Percentage_Of_Total,Solar_Power_Percentage_Of_RE,Geothermal_Gwh,Geothermal_Percentage_Of_Total,Geothermal_Percentage_Of_RE
Afghanistan, Afghanistan_,2016,,1071,,1035,,0.967,0.1,,0,,,0,35.5,,0.033,,,
Albania, Albania_,2016,7784,7784,1,7782,1,1,,0,0,,0,0,2,0,0,,,
Algeria, Algeria_,2016,70997,430.5,0.006,72,0.001,0.167,19.4,0,0.045,,0,0,339.1,0.005,0.788,,,
Angola, Angola_,2016,10361,7282,0.703,7109,0.686,0.976,,0,0,155,0.015,0.021,18.3,0.002,0.003,,,
Anguilla, Anguilla,2016,,2.4,,,,0,,,0,,,0,2.4,,1,,,
Antigua and Barbuda, Antigua and Barbuda,2016,,5.5,,,,0,,,0,,,0,5.5,,1,,,
Argentina, Argentina_,2021,142616,41175,0.2887,25291,0.1773,0.6142,12938,0.0907,0.3142,750,0.0053,0.0182,2196,0.0154,0.0533,,,
Armenia, Armenia_,2016,7315,2354,0.322,2351.2,0.321,0.999,1.8,0,0.001,,0,0,1.2,0,0.001,,,
Aruba, Aruba,2016,,148.5,,,,0,130.3,,0.877,8.9,,0.06,9.2,,0.062,,,
Australia, Australia_,2021,229782,74679,0.325,16128,0.07,0.216,26804,0.117,0.359,3187,0.014,0.043,28561,0.124,0.383,,,
Austria, Austria_,2016,68351,50772,0.743,42919,0.628,0.845,5235,0.077,0.103,4603,0.067,0.091,1096,0.016,0.022,,,
Azerbaijan, Azerbaijan_,2016,24953,2192,0.088,1959,0.079,0.894,22.8,0.001,0.01,174.5,0.007,0.08,35.3,0.001,0.016,,,
Bahamas, Bahamas,2016,,1.9,,,,0,,,0,,,0,1.9,,1,,,
Bahrain, Bahrain,2016,28510,9.5,0,,0,0,1.2,0,0.126,,0,0,8.3,0,0.874,,,
Bangladesh, Bangladesh_,2016,64327,1183,0.018,946,0.015,0.8,5.1,0,0.004,7.7,0,0.007,224.3,0.003,0.19,,,
Barbados, Barbados,2016,,29.6,,,,0,0.1,,0.003,,,0,29.5,,0.997,,,
Belarus, Belarus_,2016,33566,392,0.012,141.9,0.004,0.362,74.8,0.002,0.191,147.2,0.004,0.376,28.1,0.001,0.072,,,
Belgium, Belgium_,2016,85520,14168,0.166,1489,0.017,0.105,5436,0.064,0.384,5276,0.062,0.372,3086,0.036,0.218,,,
Belize, Belize_,2016,,383.1,,260.5,,0.68,,,0,117.4,,0.306,5.3,,0.014,,,
Benin, Benin,2016,355,11.2,0.032,1,0.003,0.089,,0,0,,0,0,10.2,0.029,0.911,,,
Netherlands, Netherlands_,2016,,38.2,,,,0,35.1,,0.919,,,0,3.1,,0.081,,,
Bhutan, Bhutan_,2016,,7962,,7959,,1,1.8,,0,,,0,0.7,,0,,,
Bolivia, Bolivia_,2016,9409,1937,0.206,1720,0.183,0.888,34.9,0.004,0.018,176.2,0.019,0.091,5.7,0.001,0.003,,,
Bosnia and Herzegovina, Bosnia and Herzegovina,2016,17767,5591,0.315,5587,0.314,0.999,0.8,0,0,36.1,0.002,0.006,13.4,0.001,0.002,,,
Botswana, Botswana_,2016,2688,4.3,0.002,,0,0,,0,0,,0,0,4.3,0.002,1,,,
British Virgin Islands, British Virgin Islands,2016,,1.6,,,,0,1.3,,0.813,,,0,0.3,,0.188,,,
Brazil, Brazil_,2016,578889,465579,0.804,380911,0.658,0.818,33489,0.058,0.072,51040,0.088,0.11,138.8,0,0,,,
Brunei, Brunei_,2016,4270,1.1,0,,0,0,,0,0,,0,0,1.1,0,1,,,
Bulgaria, Bulgaria,2016,45277,7106,0.157,4568,0.101,0.643,1425,0.031,0.201,353,0.008,0.05,1386,0.031,0.195,,,
Burkina Faso, Burkina Faso_,2016,,157.1,,139.5,,0.888,,,0,2.3,,0.015,15.3,,0.097,,,
Burundi, Burundi_,2016,,284,,271.9,,0.957,,,0,6.6,,0.023,5.4,,0.019,,,
Cape Verde, Cape Verde,2016,,74.7,,,,0,69.1,,0.925,,,0,5.6,,0.075,,,
Cambodia, Cambodia_,2016,5594,2641,0.472,2568,0.459,0.972,0.3,0,0,48.3,0.009,0.018,24.7,0.004,0.009,,,
Cameroon, Cameroon_,2016,8367,4385,0.524,4372.7,0.523,0.997,,0,0,,0,0,12.4,0.001,0.003,,,
Canada, Canada_,2016,667438,433597,0.65,387208,0.58,0.893,30766,0.046,0.071,12685,0.019,0.029,3031,0.005,0.007,,,
Central African Republic, Central African Republic,2016,,171.7,,171.3,,0.998,,,0,,,0,0.4,,0.002,,,
Chad, Chad,2016,,9.2,,,,0,8.9,,0.967,,,0,0.3,,0.033,,,
Chile, Chile_,2016,79308,34319,0.433,23274,0.293,0.678,2449,0.031,0.071,5957,0.075,0.174,2639,0.033,0.077,,,
China, China_,2019,7142200,1739400,0.2435,1153400,0.161,0.663,357700,0.05,0.205,111100,0.016,0.064,117200,0.016,0.067,143.5,0,0
Colombia, Colombia_,2016,76904,48339,0.629,46788,0.608,0.968,50.9,0.001,0.001,1420,0.018,0.029,80.2,0.001,0.002,,,
Comoros, Comoros,2016,,5,,5,,1,,,0,,,0,,,0,,,
DR Congo, DR Congo_,2016,9135,9224,1,9221,1,1,,0,0,,0,0,3.2,0,0,,,
Congo, Congo_,2016,1753,1164,0.664,1163.7,0.664,0.999,,0,0,,0,0,0.6,0,0.001,,,
Cook Islands, Cook Islands_,2016,,4.3,,,,0,,,0,,,0,4.3,,1,,,
Costa Rica, Costa Rica_,2016,10881,10630,0.977,8026,0.738,0.755,1147,0.105,0.108,84.1,0.008,0.008,32.8,0.003,0.003,1340,0.123,0.126
Ivory Coast, Ivory Coast_,2016,10253,1534,0.15,1529,0.149,0.997,,0,0,,0,0,5.1,0,0.003,,,
Croatia, Croatia_,2016,12820,8364,0.652,7058,0.551,0.844,1014,0.079,0.121,431,0.034,0.052,66,0.005,0.008,,,
Cuba, Cuba_,2016,20458,914.5,0.045,64.2,0.003,0.07,20.9,0.001,0.023,686.3,0.034,0.75,143,0.007,0.156,,,
Curaçao, Curaçao,2016,884,229.1,0.259,,0,0,200,0.226,0.873,,0,0,29.1,0.033,0.127,,,
Cyprus, Cyprus_,2016,4887,424,0.087,,0,0,226,0.046,0.533,52,0.011,0.123,146,0.03,0.344,,,
Czech Republic, Czech Republic_,2016,83301,9384,0.113,3202,0.038,0.341,497,0.006,0.053,4756,0.057,0.507,2131,0.026,0.227,,,
Denmark, Denmark_,2016,30522,18451,0.605,19,0.001,0.001,12771,0.418,0.692,4917,0.161,0.266,744,0.024,0.04,,,
Djibouti, Djibouti_,2016,,0.5,,,,0,,,0,,,0,0.5,,1,,,
Dominica, Dominica,2016,,37.3,,36.4,,0.976,0.6,,0.016,,,0,0.4,,0.011,,,
Dominican Republic, Dominican Republic_,2016,19414,2021,0.104,1519,0.078,0.752,322.8,0.017,0.16,104.6,0.005,0.052,74.6,0.004,0.037,,,
Ecuador, Ecuador,2016,27314,16445,0.602,15833.8,0.58,0.963,84,0.003,0.005,489.5,0.018,0.03,38.2,0.001,0.002,,,
Egypt, Egypt_,2016,194327,16023,0.082,13545,0.07,0.845,2058,0.011,0.128,315.2,0.002,0.02,104.6,0.001,0.007,,,
El Salvador, El Salvador_,2016,5984,3633,0.607,1342.6,0.224,0.37,,0,0,634.6,0.106,0.175,79.8,0.013,0.022,1576,0.263,0.434
Equatorial Guinea, Equatorial Guinea_,2016,,127,,127,,1,,,0,,,0,,,0,,,
Eritrea, Eritrea_,2016,421,3.3,0.008,,0,0,2,0.005,0.606,,0,0,1.3,0.003,0.394,,,
Estonia, Estonia_,2016,12176,1524,0.125,35,0.003,0.023,594,0.049,0.39,885,0.073,0.581,10.1,0.001,0.007,,,
Eswatini, Eswatini,2016,,463.7,,126.7,,0.273,,,0,335.7,,0.724,1.3,,0.003,,,
Ethiopia, Ethiopia_,2016,11226,10509,0.936,9674,0.862,0.921,786,0.07,0.075,28.2,0.003,0.003,20.8,0.002,0.002,,,
Falkland Islands, Falkland Islands,2016,,9.3,,,,0,9.2,,0.989,,,0,0.1,,0.011,,,
Faroe Islands, Faroe Islands,2016,,158.5,,106.3,,0.671,52.1,,0.329,,,0,,,0,,,
Fiji, Fiji,2016,,571.7,,499.2,,0.873,3.6,,0.006,63.6,,0.111,5.3,,0.009,,,
Finland, Finland_,2016,68752,30407,0.442,15799,0.23,0.52,3068,0.045,0.101,11523,0.168,0.379,17,0,0.001,,,
French Guiana, French Guiana,2016,,509,,443,,0.87,,,0,12,,0.024,54,,0.106,,,
French Polynesia, French Polynesia,2016,,224.2,,187,,0.834,0.3,,0.001,,,0,36.9,,0.165,,,
France, France_,2016,556184,97242,0.175,64889,0.117,0.667,21400,0.038,0.22,7134,0.013,0.073,8160,0.015,0.084,4,0,0
Gabon, Gabon_,2016,2336,1598,0.684,1596,0.683,0.999,,0,0,,0,0,1.9,0.001,0.001,,,
Gambia, Gambia,2016,,3.6,,,,0,0.1,,0.028,,,0,3.5,,0.972,,,
Georgia, Georgia,2016,11574,9338,0.807,9329,0.806,0.999,9,0.001,0.001,,0,0,,0,0,,,
Germany, Germany_,2019,514860,237610,0.462,19430,0.038,0.082,127230,0.247,0.535,44420,0.086,0.187,46540,0.09,0.196,,,
Ghana, Ghana_,2016,13023,5593,0.429,5561,0.427,0.994,,0,0,0.3,0,0,31,0.002,0.006,,,
Greece, Greece_,2016,54438,14893,0.274,5565,0.102,0.374,5146,0.095,0.346,274,0.005,0.018,3930,0.072,0.264,,,
Greenland, Greenland_,2016,,400.9,,400.9,,1,,,0,,,0,,,0,,,
Grenada, Grenada,2016,,2.3,,,,0,,,0,,,0,2.3,,1,,,
Guadeloupe, Guadeloupe,2016,,315.1,,34.1,,0.108,53.3,,0.169,49.8,,0.158,93.8,,0.298,84.1,,0.267
Guam, Guam,2016,,66.8,,,,0,0.4,,0.006,,,0,66.3,,0.993,,,
Guatemala, Guatemala,2016,12450,6435,0.517,3951,0.317,0.614,215.1,0.017,0.033,1778,0.143,0.276,201.3,0.016,0.031,289.1,0.023,0.045
Guinea, Guinea_,2016,,397.9,,395.3,,0.993,,,0,,,0,2.6,,0.007,,,
Guinea-Bissau, Guinea-Bissau,2016,,3.5,,,,0,,,0,,,0,3.5,,1,,,
Guyana, Guyana_,2016,,50.3,,,,0,0.1,,0.002,40.2,,0.799,10,,0.199,,,
